time,dB(SPL)
66546,32.86905
66596,44.71057
66645,50.93085
66697,31.82129
66746,41.86843
66797,37.61627
66846,35.56303
66897,36.52150
66947,35.98681
66998,31.59567
67049,42.86030
67095,22.27887
67146,37.38463
67197,37.14665
67247,38.16970
67298,37.84189
67347,37.50123
67397,53.57037
67446,36.12360
67496,51.88785
67546,33.25516
67597,50.47493
67647,51.50376
67696,50.83158
67747,51.59567
67796,46.48565
67847,31.82129
67897,52.34001
67946,53.89210
67998,52.72976
68063,52.62888
68096,54.88586
68146,61.72007
68197,56.13716
68246,62.11701
68297,52.68955
68346,52.58819
68396,54.53454
68447,60.87510
68498,53.87454
68546,57.69591
68596,51.29332
68646,35.56303
68697,34.48552
68747,41.58362
68797,36.52150
68846,37.02517
68896,32.04120
68946,31.82129
68997,29.82723
69061,30.62958
69095,42.27887
69146,39.08485
69197,38.38156
69246,38.58838
69297,52.06289
69348,51.70921
69396,27.95880
69446,28.62728
69497,18.06180
69546,16.90196
69596,15.56303
69647,18.06180
69698,18.06180
69746,20.00000
69799,15.56303
69846,15.56303
69897,19.08485
69948,13.97940
69996,13.97940
70046,20.00000
70105,16.90196
70146,18.06180
70197,50.83158
70246,40.42379
70297,52.60856
70346,28.62728
70396,51.70921
70446,51.57278
70496,58.16970
70547,58.52685
70598,52.84929
70647,35.56303
70697,53.16023
70747,49.88309
70797,37.38463
70846,30.88136
70896,31.59567
70947,34.48552
70998,32.66937
71046,31.36403
71111,27.60422
71146,26.02060
71196,26.44439
71246,33.44196
71297,22.27887
71349,37.26646
71396,34.80725
71446,36.25827
71496,37.61627
71547,34.80725
71596,41.43764
71646,44.29688
71697,41.58362
71746,43.97314
71796,43.10672
71847,42.98438
71897,40.90646
71946,42.86030
71997,42.07607
72047,42.60668
72097,47.00496
72149,51.68662
72196,29.24796
72246,52.78973
72297,33.62482
72347,51.66398
72397,36.90196
72446,51.34053
72497,58.36061
72546,58.13747
72596,51.88785
72646,54.08301
72697,53.02556
72746,50.55260
72796,52.62888
72847,53.44196
72896,51.17417
72946,27.95880
72996,27.95880
73047,26.44439
73098,20.82785
73153,30.37028
73196,38.98780
73246,35.84783
73297,28.62728
73346,36.52150
73397,35.84783
73446,27.23456
73497,38.98780
73547,33.97940
73597,35.70660
73647,29.54243
73696,37.61627
73747,38.88965
73796,39.08485
73845,41.51094
73896,41.72720
73947,35.98681
73996,38.38156
74046,38.58838
74097,34.96376
74150,37.61627
74196,38.06180
74246,40.58768
74296,39.91270
74346,36.52150
74397,37.38463
74445,38.98780
74498,35.84783
74546,37.02517
74596,39.27576
74646,39.18083
74697,35.26856
74747,37.38463
74796,33.62482
74846,34.64788
74897,35.41704
74945,29.54243
74996,33.62482
75046,34.15140
75096,36.25827
75149,36.12360
75196,40.82785
75246,37.95254
75297,33.62482
75347,32.25568
75396,30.62958
75446,33.44196
75498,31.82129
75546,38.79039
75596,26.02060
75647,25.57507
75697,18.06180
75747,23.52183
75797,16.90196
75846,27.23456
75897,26.44439
75948,16.90196
75996,19.08485
76046,30.10300
76097,22.92256
76151,26.84845
76197,19.08485
76246,50.90614
76296,43.69383
76346,43.63687
76396,41.13810
76446,58.20181
76497,60.10361
76547,44.45433
76597,42.34543
76647,42.92256
76697,32.86905
76746,38.48559
76797,37.84189
76846,36.25827
76897,35.70660
76946,37.02517
76997,39.64542
77047,23.52183
77097,31.59567
77147,36.65018
77203,38.68997
77246,59.68154
77296,41.28916
77346,36.65018
77396,38.79039
77447,38.68997
77496,59.69055
77548,58.55767
77600,59.05585
77646,61.11521
77697,38.98780
77747,24.08240
77795,60.98436
77846,59.36966
77896,59.85107
77948,59.19037
77996,35.11750
78046,37.72981
78096,37.50123
78146,59.53617
78198,59.35096
78246,36.77698
78295,36.77698
78346,37.95254
78396,39.08485
78446,38.38156
78496,38.27628
78546,38.16970
78597,36.90196
78646,34.15140
78697,37.02517
78747,38.27628
78798,35.11750
78848,36.90196
78897,38.68997
78946,37.72981
78997,36.90196
79046,36.25827
79096,35.11750
79149,38.79039
79206,35.84783
79246,28.29947
79296,37.38463
79346,57.51280
79396,59.21892
79446,35.70660
79496,32.25568
79546,33.97940
79595,26.44439
79646,31.82129
79696,25.57507
79748,20.00000
79796,12.04120
79846,24.08240
79897,20.00000
79946,13.97940
79996,18.06180
80046,27.60422
80097,19.08485
80146,18.06180
80209,24.08240
80246,32.66937
80296,26.44439
80346,33.25516
80396,29.24796
80446,57.51280
80497,58.28686
80546,41.28916
80597,25.10545
80646,19.08485
80697,16.90196
80748,13.97940
80797,16.90196
80846,26.84845
80897,16.90196
80946,13.97940
80997,18.06180
81047,19.08485
81096,13.97940
81148,33.44196
81196,33.62482
81258,23.52183
81296,16.90196
81346,27.23456
81397,29.54243
81445,57.93052
81496,57.74109
81546,45.62067
81597,27.95880
81647,20.82785
81698,19.08485
81747,24.08240
81797,29.24796
81846,34.15140
81897,22.27887
81946,18.06180
81997,13.97940
82046,15.56303
82097,20.00000
82147,34.32007
82197,28.94316
82246,33.80392
82301,23.52183
82346,30.37028
82396,35.84783
82446,33.25516
82496,27.60422
82546,28.29947
82596,24.60898
82647,28.94316
82697,28.29947
82746,34.64788
82797,29.24796
82847,24.08240
82897,19.08485
82946,18.06180
82996,19.08485
83046,33.62482
83096,28.29947
83146,24.60898
83196,20.82785
83247,26.84845
83300,26.02060
83347,21.58362
83396,25.57507
83447,36.77698
83497,28.94316
83547,24.08240
83596,21.58362
83646,18.06180
83697,27.95880
83747,35.70660
83797,18.06180
83847,26.02060
83897,24.60898
83947,20.00000
83998,19.08485
84046,22.92256
84098,16.90196
84147,26.84845
84198,15.56303
84246,16.90196
84305,18.06180
84346,26.84845
84396,36.90196
84447,32.04120
84496,33.06425
84547,24.08240
84597,20.82785
84647,29.54243
84697,31.59567
84746,20.82785
84796,19.08485
84846,16.90196
84897,19.08485
84947,19.08485
84997,30.62958
85046,31.59567
85097,26.02060
85146,18.06180
85197,22.27887
85247,20.82785
85305,20.00000
85347,25.57507
85396,29.24796
85446,57.74109
85497,43.28706
85546,27.95880
85597,26.44439
85647,36.90196
85696,37.50123
85746,27.60422
85797,32.46499
85846,25.10545
85898,19.08485
85946,24.60898
85997,31.36403
86046,30.62958
86096,30.88136
86146,30.10300
86197,31.12605
86246,28.62728
86297,29.24796
