time,dB(SPL)
30637,30.37028
30687,27.60422
30736,28.94316
30787,26.02060
30836,30.37028
30886,32.25568
30936,30.37028
30986,33.25516
31038,32.66937
31094,30.37028
31138,57.34935
31186,59.02675
31236,32.25568
31286,35.41704
31338,27.95880
31386,16.90196
31440,30.10300
31487,28.62728
31535,29.54243
31587,22.27887
31637,29.24796
31686,29.82723
31738,31.82129
31789,27.95880
31837,30.10300
31886,31.36403
31935,30.62958
31986,32.04120
32036,31.12605
32087,31.36403
32143,29.24796
32186,25.10545
32236,28.29947
32287,34.32007
32338,32.04120
32387,32.25568
32437,31.12605
32486,30.10300
32537,34.80725
32586,34.32007
32636,36.12360
32687,34.48552
32735,32.46499
32785,32.46499
32836,26.84845
32886,32.04120
32936,27.95880
32987,32.04120
33036,33.80392
33085,36.52150
33141,34.48552
33186,33.25516
33237,35.98681
33286,36.77698
33337,37.38463
33392,31.59567
33436,35.11750
33487,33.97940
33538,33.62482
33586,34.48552
33636,31.36403
33686,36.65018
33736,35.41704
33787,34.80725
33836,34.32007
33886,33.44196
33936,33.97940
33987,32.86905
34036,34.80725
34086,23.52183
34139,21.58362
34186,32.66937
34236,33.25516
34286,59.08485
34336,50.95549
34387,33.44196
34438,36.65018
34487,34.48552
34537,33.44196
34586,33.80392
34636,34.32007
34686,33.97940
34737,32.66937
34786,35.26856
34837,34.80725
34886,57.63910
34936,35.26856
34985,34.32007
35036,33.97940
35086,35.56303
35142,35.26856
35186,34.32007
35236,58.38156
35286,57.84189
35337,32.86905
35386,22.92256
35438,21.58362
35486,22.92256
35537,27.60422
35586,36.39088
35636,24.60898
35686,21.58362
35737,24.60898
35787,20.82785
35836,15.56303
35886,29.82723
35936,28.94316
35987,31.82129
36036,27.23456
36088,33.25516
36143,60.08643
36186,33.25516
36236,24.08240
36286,36.39088
36337,28.62728
36387,32.46499
36436,26.44439
36485,25.10545
36535,34.32007
36585,36.65018
36636,30.62958
36686,32.86905
36738,35.98681
36785,35.41704
36836,33.97940
36886,34.64788
36935,52.56778
36986,54.90150
37036,54.59949
37086,56.95145
37142,54.90150
37186,54.85450
37236,31.82129
37287,39.82452
37337,39.91270
37386,39.46256
37436,40.74853
37490,59.20942
37537,49.00498
37586,40.00000
37636,42.47703
37686,39.55447
37740,38.48559
37785,38.68997
37836,38.27628
37886,39.64542
37939,39.91270
37986,40.08643
38040,39.91270
38086,41.58362
38136,38.88965
38202,39.55447
38235,41.28916
38285,39.64542
38335,40.58768
38386,40.90646
38435,28.94316
38486,58.54741
38535,51.57278
38586,57.08612
38636,60.11219
38686,58.27628
38736,41.58362
38787,39.46256
38836,39.82452
38886,41.58362
38936,41.28916
38986,42.60668
39036,41.58362
39086,43.22736
39137,37.72981
39186,39.46256
39243,58.11592
39286,58.54741
39336,54.82303
39391,55.76337
39435,29.82723
39485,32.04120
39535,31.59567
39586,34.96376
39636,29.82723
39686,33.06425
39739,22.92256
39786,22.92256
39836,20.82785
39886,33.06425
39938,33.62482
39986,25.57507
40036,20.00000
40087,19.08485
40136,24.08240
40186,51.12605
40236,40.17200
40305,39.27576
40336,40.50612
40386,38.98780
40436,45.71115
40486,49.27786
40536,51.70921
40585,51.19813
40635,50.95549
40686,51.99766
40736,51.00457
40787,51.43418
40836,48.26600
40886,51.68662
40936,47.74780
40987,53.73273
41040,51.75422
41086,37.26646
41136,59.52700
41186,54.87020
41236,59.56361
41289,51.00457
41336,45.24902
