time,dB(SPL)
80933,30.88136
80984,37.02517
81033,32.66937
81084,22.92256
81134,18.06180
81184,20.00000
81233,13.97940
81285,27.60422
81333,18.06180
81383,19.08485
81435,13.97940
81483,9.54243
81533,16.90196
81583,29.24796
81634,31.12605
81683,25.10545
81733,18.06180
81789,26.02060
81833,24.60898
81883,32.25568
81934,35.11750
81984,32.25568
82032,18.06180
82083,27.95880
82134,25.57507
82185,21.58362
82234,24.60898
82283,27.60422
82334,25.57507
82383,20.82785
82434,19.08485
82483,18.06180
82532,19.08485
82583,27.95880
82633,28.62728
82684,22.27887
82734,18.06180
82789,18.06180
82833,26.02060
82883,34.80725
82936,32.04120
82983,24.08240
83033,18.06180
83084,22.27887
83134,18.06180
83184,30.10300
83234,26.44439
83284,18.06180
83334,19.08485
83384,18.06180
83434,16.90196
83485,23.52183
83533,57.00067
83584,61.80516
83634,41.36372
83685,24.60898
83733,18.06180
83782,20.00000
83837,29.54243
83882,32.04120
83933,34.64788
83983,35.84783
84034,28.29947
84084,29.82723
84134,26.02060
84185,31.82129
84234,28.62728
84284,24.08240
84334,28.62728
84383,22.92256
84434,25.10545
84483,26.84845
84533,23.52183
84583,30.88136
84634,28.62728
84683,23.52183
84733,23.52183
84782,42.14420
84839,31.36403
84883,28.29947
84934,31.59567
84984,31.36403
85033,27.23456
85084,24.08240
85133,29.82723
85183,21.58362
85235,20.00000
85283,18.06180
85333,13.97940
85383,13.97940
85433,20.00000
85484,25.57507
85534,31.12605
85583,29.82723
85632,20.00000
85684,16.90196
85733,24.60898
85783,22.27887
85837,21.58362
85883,22.27887
85932,33.25516
85983,32.25568
86034,25.10545
86084,27.23456
86134,28.94316
86185,25.10545
86233,22.92256
86285,18.06180
86334,16.90196
86383,26.84845
86433,24.08240
86483,21.58362
86533,29.24796
86584,19.08485
86633,16.90196
86684,26.84845
86734,30.62958
86784,33.25516
86848,26.02060
86882,32.25568
86933,33.44196
86984,33.44196
87034,31.36403
87083,26.02060
87133,21.58362
87183,32.46499
87234,29.54243
87283,30.62958
87334,27.95880
87384,28.29947
87434,20.82785
87483,26.44439
87533,28.62728
